===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 262144
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	392:		4004 D  4005 D  0    0    
Set 	393:		4004 D  4005 D  0    0    
Set 	394:		4004 D  4005 D  0    0    
Set 	395:		4003 D  4004 D  4005 D  0    
Set 	396:		4003 D  4004 D  4005 D  0    
Set 	397:		4003    4004 D  4005 D  0    
Set 	398:		4003 D  4004 D  4005 D  0    
Set 	399:		4003 D  4004 D  4005 D  0    
Set 	400:		4003 D  4004 D  4005 D  0    
Set 	401:		4003 D  4004 D  4005 D  0    
Set 	402:		4003 D  4004 D  4005 D  0    
Set 	403:		4003 D  4004 D  4005 D  0    
Set 	404:		4003 D  4004 D  4005 D  0    
Set 	405:		4003 D  4004 D  4005 D  0    
Set 	406:		4003 D  4004 D  4005 D  0    
Set 	407:		4003 D  4004 D  4005 D  0    
Set 	408:		4003 D  4004 D  4005 D  0    
Set 	409:		4003 D  4004 D  4005 D  0    
Set 	410:		4003 D  4004 D  4005 D  0    
Set 	411:		4003 D  4004 D  4005 D  0    
Set 	412:		4003 D  4004 D  4005 D  0    
Set 	413:		4003 D  4004 D  4005 D  0    
Set 	414:		4003 D  4004 D  4005 D  0    
Set 	415:		4000    4003 D  4004 D  4005 D  
Set 	416:		4000    4003 D  4004 D  4005 D  
Set 	417:		4003 D  4004 D  4005 D  0    
Set 	418:		4003 D  4004 D  4005 D  0    
Set 	419:		4003 D  4004 D  4005 D  0    
Set 	420:		4003 D  4004 D  4005 D  0    
Set 	421:		4003 D  4004 D  4005 D  0    
Set 	422:		4003 D  4004 D  4005 D  0    
Set 	423:		4003 D  4004 D  4005 D  0    
Set 	424:		4003 D  4004 D  4005 D  0    
Set 	425:		4003 D  4004 D  4005 D  0    
Set 	426:		4003 D  4004 D  4005 D  0    
Set 	427:		4003 D  4004 D  4005 D  0    
Set 	428:		4003 D  4004 D  4005 D  0    
Set 	429:		4003 D  4004 D  4005 D  0    
