===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 4
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 FIFO
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	362:		10013 D  10010 D  0    0    
Set 	363:		10013 D  10010 D  0    0    
Set 	364:		10013 D  1000c D  10010 D  0    
Set 	365:		10013 D  10010 D  0    0    
Set 	366:		1000c D  10013 D  10010 D  1000d D  
Set 	367:		10008 D  10013 D  10010 D  1000d D  
Set 	368:		10013 D  10010 D  10014 D  0    
Set 	369:		1000d D  1000c D  10010 D  10014 D  
Set 	370:		10014 D  1000f D  1000c D  10010 D  
Set 	371:		10008 D  10013 D  10010 D  10014 D  
Set 	372:		10014 D  10013 D  1000c D  10010 D  
Set 	373:		10013 D  10010 D  10014 D  0    
Set 	374:		10013 D  10010 D  10014 D  0    
Set 	375:		10013 D  10010 D  10014 D  0    
Set 	376:		1000f D  1000c D  10010 D  10014 D  
Set 	377:		10007    1000c D  10010 D  10014 D  
Set 	378:		10013 D  10010 D  10014 D  10007    
Set 	379:		10013 D  10010 D  10014 D  0    
Set 	380:		10013 D  10010 D  10014 D  0    
Set 	381:		10007    10013 D  10010 D  10014 D  
Set 	382:		10013 D  10010 D  10014 D  10007    
Set 	383:		10013 D  10010 D  10014 D  1000c D  
Set 	384:		10013 D  10010 D  10014 D  1000c D  
Set 	385:		1000c D  10010 D  10014 D  1000f D  
Set 	386:		10013 D  10010 D  10014 D  1000c D  
Set 	387:		10013 D  10010 D  10014 D  0    
Set 	388:		10007    10013 D  10010 D  10014 D  
Set 	389:		10007    10013 D  10010 D  10014 D  
Set 	390:		10007    10013 D  10010 D  10014 D  
Set 	391:		10007    10013 D  10010 D  10014 D  
Set 	392:		10007    10013 D  10010 D  10014 D  
Set 	393:		10013 D  10010 D  10014 D  0    
Set 	394:		10007    10013 D  10010 D  10014 D  
Set 	395:		10014 D  10013 D  1000c D  10010 D  
Set 	396:		10014 D  10007    10013 D  10010 D  
Set 	397:		10014 D  10007    10013 D  10010 D  
Set 	398:		10010 D  10014 D  10013 D  1000c D  
Set 	399:		10014 D  1000f D  1000c D  10010 D  
Set 	400:		10013 D  1000c D  10010 D  10014 D  
Set 	401:		10013 D  1000c D  10010 D  10014 D  
Set 	402:		10014 D  10013 D  1000c D  10010 D  
Set 	403:		10014 D  10013 D  1000c D  10010 D  
Set 	404:		10014 D  10007    1000c D  10010 D  
Set 	405:		10013 D  1000c D  10010 D  10014 D  
Set 	406:		10010 D  10014 D  10007    1000c D  
Set 	407:		10014 D  10007    1000c D  10010 D  
Set 	408:		1000b D  10007    10010 D  10014 D  
Set 	409:		10007    1000c D  10010 D  10014 D  
Set 	410:		10013 D  1000c D  10010 D  10014 D  
Set 	411:		10013 D  1000c D  10010 D  10014 D  
Set 	412:		10014 D  1000b D  1000c D  10010 D  
Set 	413:		10013 D  1000c D  10010 D  10014 D  
Set 	414:		10013 D  1000c D  10010 D  10014 D  
Set 	415:		10014 D  10000    1000c D  10010 D  
Set 	416:		10014 D  1000b D  1000c D  10010 D  
Set 	417:		10013 D  1000c D  10010 D  10014 D  
Set 	418:		10013 D  1000c D  10010 D  10014 D  
Set 	419:		1000b D  1000c D  10010 D  10014 D  
Set 	420:		10014 D  1000b D  1000c D  10010 D  
Set 	421:		10007    1000b    10010 D  10014 D  
Set 	422:		10013 D  1000c D  10010 D  10014 D  
Set 	423:		10014 D  1000b D  10007    10010 D  
Set 	424:		10007    1000c D  10010 D  10014 D  
Set 	425:		10007    1000c D  10010 D  10014 D  
Set 	426:		10007    1000c D  10010 D  10014 D  
Set 	427:		10009    1000c D  10010 D  10014 D  
Set 	428:		10009    1000c D  10010 D  10014 D  
Set 	429:		10009    1000c D  10010 D  10014 D  
Set 	430:		10009    1000c D  10010 D  10014 D  
Set 	431:		10014 D  10009    1000c D  10010 D  
Set 	432:		10013 D  1000c D  10010 D  10014 D  
Set 	433:		10009    10007    10010 D  10014 D  
Set 	434:		10009    1000c D  10010 D  10014 D  
Set 	435:		10013 D  1000c D  10010 D  10014 D  
Set 	436:		10013 D  1000c D  10010 D  10014 D  
Set 	437:		10013 D  1000c D  10010 D  10014 D  
Set 	438:		10013 D  1000c D  10010 D  10014 D  
Set 	439:		10014 D  1000b D  1000d D  10010 D  
Set 	440:		10010 D  10014 D  1000b D  1000c D  
Set 	441:		10014 D  1000b D  1000c D  10010 D  
Set 	442:		10014 D  10013 D  1000c D  10010 D  
Set 	443:		10010 D  1000b D  10014 D  1000c D  
Set 	444:		10014 D  1000c D  10010 D  1000b D  
Set 	445:		1000b D  10014 D  1000c D  10010 D  
Set 	446:		10014 D  1000c D  10010 D  1000b D  
Set 	447:		10014 D  1000c D  10010 D  1000b D  
Set 	448:		10014 D  1000c D  10010 D  1000b D  
Set 	449:		1000b D  10014 D  1000c D  10010 D  
Set 	450:		10014 D  1000c D  10010 D  1000b D  
Set 	451:		1000b D  10014 D  1000d D  10010 D  
Set 	452:		1000b D  10014 D  1000c D  10010 D  
Set 	453:		10014 D  1000c D  10010 D  1000b D  
Set 	454:		1000b D  10014 D  1000d D  10010 D  
Set 	455:		1000b D  10014 D  1000c D  10010 D  
Set 	456:		1000b D  10014 D  1ec0c D  1000f D  
Set 	457:		1ec0c D  10010 D  1000b D  10014 D  
Set 	458:		10014 D  1000f D  10010 D  1000b D  
Set 	459:		10010 D  1000b D  10014 D  1ec0c D  
Set 	460:		1000b D  10014 D  1000c D  10010 D  
Set 	461:		10014 D  1000c D  10010 D  1000b D  
Set 	462:		10014 D  1000f D  10010 D  1000b D  
Set 	463:		1000b D  10014 D  1000f D  10010 D  
Set 	464:		1000b D  10014 D  1000f D  1ec0c D  
Set 	465:		10014 D  1000f D  10010 D  1000b D  
Set 	466:		1000b D  10014 D  1000f D  10010 D  
Set 	467:		1000b D  10014 D  1000f D  1000d D  
Set 	468:		1000b D  10014 D  1000f D  10010 D  
Set 	469:		10014 D  1000c D  10010 D  1000b D  
Set 	470:		10010 D  1000b D  10014 D  1000c D  
Set 	471:		1000b D  10014 D  1000c D  10010 D  
Set 	472:		10014 D  1000c D  10010 D  1000b D  
Set 	473:		1000b D  10014 D  1000f D  10010 D  
Set 	474:		1000b D  10014 D  1000c D  10010 D  
Set 	475:		1000b D  10014 D  1000c D  10010 D  
Set 	476:		1000b D  1000f D  1000d D  10014 D  
Set 	477:		10010 D  1000b D  10014 D  1000d D  
Set 	478:		1000f D  10010 D  1000b D  10014 D  
Set 	479:		1000c D  10010 D  1000b D  10014 D  
Set 	480:		10014 D  1000c D  10010 D  1000b D  
Set 	481:		10014 D  1000c D  10010 D  1000b D  
Set 	482:		1000b D  10014 D  1000c D  10010 D  
Set 	483:		10014 D  1000c D  10010 D  1000b D  
Set 	484:		1000b D  10014 D  1000c D  10010 D  
Set 	485:		1000b D  10014 D  1000c D  10010 D  
Set 	486:		1000b D  1000f D  10014 D  10010 D  
Set 	487:		1000b D  1000f D  10014 D  10010 D  
Set 	488:		1000b D  10014 D  1000f D  10010 D  
Set 	489:		1000b D  10014 D  1000f D  1000c D  
Set 	490:		1000b D  10014 D  1000c D  10010 D  
Set 	491:		1000b D  10014 D  1000c D  10010 D  
Set 	492:		1000b D  10014 D  1000f D  10010 D  
Set 	493:		1000b D  10014 D  1000f D  10010 D  
Set 	494:		10010 D  1000b D  10014 D  1000c D  
Set 	495:		10014 D  1000c D  10010 D  1000b D  
Set 	496:		10014 D  1000c D  10010 D  1000b D  
Set 	497:		10014 D  1000c D  10010 D  1000b D  
Set 	498:		10014 D  1000c D  10010 D  1000b D  
Set 	499:		1000b D  10014 D  1000c D  10010 D  
