===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 65536
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	473:		8008 D  800a D  
Set 	474:		800a D  8008 D  
Set 	475:		8008 D  800a D  
Set 	476:		8008 D  800a D  
Set 	477:		8008 D  800a D  
Set 	478:		8008 D  800a D  
Set 	479:		8008 D  800a D  
Set 	480:		800a D  8008 D  
Set 	481:		800a D  8006 D  
Set 	482:		800a D  8008 D  
Set 	483:		800a D  8008 D  
Set 	484:		8008 D  800a D  
Set 	485:		800a D  8008 D  
Set 	486:		800a D  8008 D  
Set 	487:		800a D  8008 D  
Set 	488:		800a D  8008 D  
Set 	489:		800a D  8006 D  
Set 	490:		800a D  8008 D  
Set 	491:		800a D  8008 D  
Set 	492:		800a D  8008 D  
Set 	493:		800a D  8008 D  
Set 	494:		800a D  8008 D  
Set 	495:		800a D  8008 D  
Set 	496:		800a D  8008 D  
Set 	497:		800a D  8008 D  
Set 	498:		800a D  8008 D  
Set 	499:		800a D  8008 D  
Set 	500:		800a D  8008 D  
Set 	501:		800a D  8008 D  
Set 	502:		800a D  8008 D  
Set 	503:		800a D  8008 D  
Set 	504:		800a D  8006 D  
Set 	505:		800a D  8008 D  
Set 	506:		800a D  8008 D  
Set 	507:		800a D  8008 D  
Set 	508:		800a D  8008 D  
Set 	509:		800a D  8008 D  
Set 	510:		800a D  8008 D  
Set 	511:		800a D  8008 D  
Set 	512:		800a D  8008 D  
Set 	513:		800a D  8008 D  
Set 	514:		800a D  8008 D  
Set 	515:		800a D  8008 D  
Set 	516:		800a D  8008 D  
Set 	517:		800a D  8008 D  
Set 	518:		800a D  8008 D  
Set 	519:		8008 D  800a D  
Set 	520:		8008 D  800a D  
Set 	521:		8008 D  800a D  
Set 	522:		800a D  8008 D  
Set 	523:		800a D  8008 D  
Set 	524:		800a D  8008 D  
Set 	525:		800a D  8008 D  
Set 	526:		800a D  8008 D  
Set 	527:		800a D  8008 D  
Set 	528:		800a D  8008 D  
Set 	529:		800a D  8008 D  
Set 	530:		800a D  8008 D  
Set 	531:		8008 D  800a D  
Set 	532:		800a D  8008 D  
Set 	533:		800a D  8008 D  
Set 	534:		800a D  8008 D  
Set 	535:		800a D  8008 D  
Set 	536:		8008 D  800a D  
Set 	537:		8008 D  800a D  
Set 	538:		8008 D  800a D  
Set 	539:		800a D  8008 D  
Set 	540:		8008 D  800a D  
Set 	541:		8008 D  800a D  
Set 	542:		8008 D  800a D  
Set 	543:		8008 D  800a D  
Set 	544:		8008 D  800a D  
Set 	545:		8008 D  800a D  
Set 	546:		8008 D  800a D  
Set 	547:		8008 D  800a D  
Set 	548:		8008 D  800a D  
