===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 131072
L1_ASSOC:		 8
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	171:		108d5    1000f D  10015 D  10014 D  1000d    0    0    0    
Set 	172:		1000f D  10015 D  10014 D  1000d    1000c D  0    0    0    
Set 	173:		10000    1000f D  10015 D  10014 D  0    0    0    0    
Set 	174:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	175:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	176:		108d5    1000f D  10015 D  10014 D  1000d    0    0    0    
Set 	177:		1004e    108d5    1000f D  10015 D  10014 D  0    0    0    
Set 	178:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	179:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	180:		108d5    1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	181:		108d5 D  1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	182:		108d5 D  1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	183:		108d5    1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	184:		108d5 D  1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	185:		108d5    1000f D  1000c D  10015 D  10014 D  0    0    0    
Set 	186:		108d5    1000f D  1000c D  10015 D  10014 D  1000d D  0    0    
Set 	187:		108d5    1000d D  1000f D  1000c D  10015 D  10014 D  0    0    
Set 	188:		1004e    108d5    1000d    1000f D  1000c D  10015 D  10014 D  0    
Set 	189:		108d5    1000d D  1000f D  1000c D  10015 D  10014 D  0    0    
Set 	190:		1000f D  1000c D  10015 D  10014 D  0    0    0    0    
Set 	191:		1000f D  1000c D  10015 D  10014 D  0    0    0    0    
Set 	192:		1000f D  1000c D  10015 D  10014 D  0    0    0    0    
Set 	193:		1000f D  1000c D  10015 D  10014 D  0    0    0    0    
Set 	194:		1000c D  1000f D  10015 D  10014 D  0    0    0    0    
Set 	195:		108d5    1000f D  10015 D  10014 D  1000d D  0    0    0    
Set 	196:		108d5 D  1000d D  1000f D  10015 D  10014 D  0    0    0    
Set 	197:		108d5    1000f D  10015 D  10014 D  0    0    0    0    
Set 	198:		108d5    1000d D  1000f D  10015 D  10014 D  0    0    0    
Set 	199:		1000f D  10015 D  10014 D  1000d    0    0    0    0    
