===== Simulator configuration =====
BLOCKSIZE:		 32
L1_SIZE:		 32768
L1_ASSOC:		 2
L2_SIZE:		 0
L2_ASSOC:		 0
REPLACEMENT POLICY:	 LRU
INCLUSION PROPERTY:	 non-inclusive
trace_file:		 ./traces/gcc_trace.txt
===== L1 contents =====
Set 	305:		1000a D  1000f D  
Set 	306:		10013 D  1000f D  
Set 	307:		10013 D  1000f D  
Set 	308:		10013 D  1000f D  
Set 	309:		10010 D  1000c D  
Set 	310:		10013 D  0    
Set 	311:		10011 D  10013 D  
Set 	312:		10011 D  10013 D  
Set 	313:		10013 D  1000c D  
Set 	314:		10013 D  0    
Set 	315:		10013 D  0    
Set 	316:		1000a D  1000c D  
Set 	317:		10013 D  1000d D  
Set 	318:		1000d D  1000a    
Set 	319:		10013 D  1000e D  
Set 	320:		1000f D  1000a D  
Set 	321:		1000d D  1000f D  
Set 	322:		10000    10013 D  
Set 	323:		10013 D  0    
Set 	324:		10010    10013 D  
Set 	325:		10013 D  0    
Set 	326:		10013 D  0    
Set 	327:		10013 D  0    
Set 	328:		10013 D  0    
Set 	329:		10013 D  0    
Set 	330:		10010 D  1000c D  
Set 	331:		10010 D  1000c D  
Set 	332:		1000f D  10010 D  
Set 	333:		10010 D  10013 D  
Set 	334:		10010 D  1000c D  
Set 	335:		10013 D  10010 D  
Set 	336:		10013 D  10010 D  
Set 	337:		10013 D  10010 D  
Set 	338:		10013 D  10010 D  
Set 	339:		10010 D  1000c D  
Set 	340:		10013 D  10010 D  
Set 	341:		10013 D  10010 D  
Set 	342:		10013 D  10010 D  
Set 	343:		10013 D  10010 D  
Set 	344:		10013 D  10010 D  
Set 	345:		10010 D  1000d D  
Set 	346:		1000d D  10010 D  
Set 	347:		1000d D  10010 D  
Set 	348:		1000d D  10010 D  
Set 	349:		1000f D  1000d D  
Set 	350:		1000f D  10010 D  
Set 	351:		1000f D  10010 D  
Set 	352:		10013 D  10010 D  
Set 	353:		10013 D  10010 D  
Set 	354:		10010 D  1000f D  
Set 	355:		10013 D  10010 D  
Set 	356:		1000f D  10010 D  
Set 	357:		10010 D  1000c D  
Set 	358:		1000f D  10010 D  
Set 	359:		1000f D  10010 D  
Set 	360:		10010 D  1000c D  
Set 	361:		1000c D  10010 D  
Set 	362:		10013 D  10010 D  
Set 	363:		10013 D  10010 D  
Set 	364:		10010 D  1000c D  
Set 	365:		10013 D  10010 D  
Set 	366:		1000d D  10010 D  
Set 	367:		10010 D  1000d D  
Set 	368:		10014 D  10010 D  
Set 	369:		10014 D  1000d D  
Set 	370:		10014 D  1000f D  
Set 	371:		10010 D  10014 D  
Set 	372:		10014 D  10010 D  
Set 	373:		10014 D  10010 D  
Set 	374:		10014 D  10010 D  
Set 	375:		10014 D  10010 D  
Set 	376:		1000f D  10014 D  
Set 	377:		10007    10014 D  
Set 	378:		10014 D  10007    
Set 	379:		10014 D  10010 D  
Set 	380:		10014 D  10010 D  
Set 	381:		10007    10014 D  
Set 	382:		10014 D  10007    
Set 	383:		10014 D  1000c D  
Set 	384:		10014 D  1000c D  
Set 	385:		1000c D  1000f D  
Set 	386:		10014 D  1000c D  
Set 	387:		10014 D  10010 D  
Set 	388:		10007    10014 D  
Set 	389:		10014 D  10010 D  
Set 	390:		10010 D  10014 D  
Set 	391:		10010 D  10014 D  
Set 	392:		10014 D  10010 D  
Set 	393:		10014 D  10010 D  
Set 	394:		10010 D  10014 D  
Set 	395:		10014 D  10010 D  
Set 	396:		10007    10014 D  
Set 	397:		10014 D  10010 D  
Set 	398:		10010 D  10014 D  
Set 	399:		10014 D  1000f D  
Set 	400:		10010 D  10014 D  
Set 	401:		10010 D  10014 D  
Set 	402:		10014 D  10010 D  
Set 	403:		10014 D  10010 D  
Set 	404:		10014 D  10007    
Set 	405:		10010 D  10014 D  
Set 	406:		10014 D  10007    
Set 	407:		10007    10014 D  
Set 	408:		1000b D  10007    
Set 	409:		10007    10014 D  
Set 	410:		10010 D  10014 D  
Set 	411:		10010 D  10014 D  
Set 	412:		1000b D  10014 D  
Set 	413:		10010 D  10014 D  
Set 	414:		10010 D  10014 D  
Set 	415:		10014 D  10010 D  
Set 	416:		10014 D  1000b D  
Set 	417:		10010 D  10014 D  
Set 	418:		10010 D  10014 D  
Set 	419:		1000b D  10014 D  
Set 	420:		1000b D  10014 D  
Set 	421:		10007    1000b    
Set 	422:		10010 D  10014 D  
Set 	423:		10007    1000b    
Set 	424:		10007    10014 D  
Set 	425:		10007    10014 D  
Set 	426:		10007    10014 D  
Set 	427:		10009    10014 D  
Set 	428:		10009    10014 D  
Set 	429:		10009    10014 D  
Set 	430:		10009    10014 D  
Set 	431:		10009    10014 D  
Set 	432:		10010 D  10014 D  
Set 	433:		10009    10007    
Set 	434:		10009    10014 D  
Set 	435:		10010 D  10014 D  
Set 	436:		10010 D  10014 D  
Set 	437:		10010 D  10014 D  
Set 	438:		10010 D  10014 D  
Set 	439:		1000d D  1000b D  
Set 	440:		1000d D  1000b D  
Set 	441:		10014 D  1000b D  
Set 	442:		10010 D  10014 D  
Set 	443:		10014 D  1000b D  
Set 	444:		10014 D  1000b D  
Set 	445:		1000b D  10014 D  
Set 	446:		10014 D  1000b D  
Set 	447:		10014 D  1000b D  
Set 	448:		10014 D  1000b D  
Set 	449:		1000b D  10014 D  
Set 	450:		10014 D  1000b D  
Set 	451:		10014 D  1000d D  
Set 	452:		1000b D  10014 D  
Set 	453:		10014 D  1000b D  
Set 	454:		10014 D  1000d D  
Set 	455:		1000b D  10014 D  
Set 	456:		1ec0c D  1000f D  
Set 	457:		1ec0c D  10014 D  
Set 	458:		1000f D  1000b D  
Set 	459:		10014 D  1ec0c D  
Set 	460:		1000b D  10014 D  
Set 	461:		10014 D  1000b D  
Set 	462:		10014 D  1000f D  
Set 	463:		1000f D  10014 D  
Set 	464:		1ec0c D  1000f D  
Set 	465:		10014 D  1000f D  
Set 	466:		1000f D  10014 D  
Set 	467:		1000f D  1000d D  
Set 	468:		1000f D  10014 D  
Set 	469:		10014 D  1000b D  
Set 	470:		1000b D  10014 D  
Set 	471:		1000b D  10014 D  
Set 	472:		10014 D  1000b D  
Set 	473:		1000f D  10014 D  
Set 	474:		1000b D  10014 D  
Set 	475:		1000b D  10014 D  
Set 	476:		1000d D  10014 D  
Set 	477:		10014 D  1000d D  
Set 	478:		1000f D  10014 D  
Set 	479:		1000b D  10014 D  
Set 	480:		10014 D  1000b D  
Set 	481:		10014 D  1000c D  
Set 	482:		1000b D  10014 D  
Set 	483:		10014 D  1000b D  
Set 	484:		1000b D  10014 D  
Set 	485:		1000b D  10014 D  
Set 	486:		10014 D  1000f D  
Set 	487:		10014 D  1000f D  
Set 	488:		10014 D  1000f D  
Set 	489:		10014 D  1000c D  
Set 	490:		1000b D  10014 D  
Set 	491:		1000b D  10014 D  
Set 	492:		1000f D  10014 D  
Set 	493:		1000f D  10014 D  
Set 	494:		10014 D  1000b D  
Set 	495:		10014 D  1000b D  
Set 	496:		10014 D  1000b D  
Set 	497:		10014 D  1000b D  
Set 	498:		10014 D  1000b D  
Set 	499:		1000b D  10014 D  
Set 	500:		10011    10014 D  
Set 	501:		10011    10014 D  
Set 	502:		1000f D  10011    
Set 	503:		10011    10014 D  
Set 	504:		10011    1000c D  
Set 	505:		10011    10014 D  
Set 	506:		10014 D  10011    
Set 	507:		10011    10014 D  
Set 	508:		10011    10014 D  
Set 	509:		10014 D  1000b D  
Set 	510:		10014 D  1000b D  
Set 	511:		1000b D  10014 D  
===== Simulation results (raw) =====
a. number of L1 reads:          63640
b. number of L1 read misses:    752
c. number of L1 writes:         36360
d. number of L1 write misses:   2129
e. L1 miss rate:                0.028810
f. number of L1 writebacks:     1324
g. number of L2 reads:          0
h. number of L2 read misses:    0
i. number of L2 writes:         0
j. number of L2 write misses:   0
k. L2 miss rate:                0
l. number of L2 writebacks:     0
m. total memory traffic:        4205
